"rank","persona_id","role","role_label","work_setting","life_stage","time_pressure","personal_priority","primary_goal","completed_first_value","wow_moment","love_score","use_again_score","family_time_back_resonance_score","outcome_tier","primary_pain_point"
"23","DEMO-TEST-SL-5000-FACILITY-0419","facility","Facility / CPO","apartment or HOA pool","sandwich caregiver","protect dinner at home","teach the next person faster","record equipment proof","true","true","94.3","90.1","89.2","strong_aha","facility completion packet needs richer evidence capture"
"24","DEMO-TEST-SL-5000-FACILITY-0427","facility","Facility / CPO","hotel or resort","late career or empty nest","unpredictable on-call schedule","teach the next person faster","document a dose","true","true","94.2","90.3","88.1","strong_aha","facility completion packet needs richer evidence capture"
"25","DEMO-TEST-SL-5000-FACILITY-0996","facility","Facility / CPO","swim school","raising young children","elder-care responsibility","protect customer or facility trust","record equipment proof","true","true","94","91.5","92.7","strong_aha","facility completion packet needs richer evidence capture"
"26","DEMO-TEST-SL-5000-FACILITY-0834","facility","Facility / CPO","hotel or resort","raising young children","second job or side work","feel confident without calling a boss","run a daily pool check","true","true","93.8","92.3","92.6","strong_aha","facility completion packet needs richer evidence capture"
"27","DEMO-TEST-SL-5000-FACILITY-0043","facility","Facility / CPO","fitness or medical facility","established family","second job or side work","teach the next person faster","run a daily pool check","true","true","93.8","91.9","87.7","strong_aha","facility completion packet needs richer evidence capture"
"28","DEMO-TEST-SL-5000-FACILITY-0900","facility","Facility / CPO","municipal or school facility","raising young children","unpredictable on-call schedule","get home for dinner","prepare an escalation packet","true","true","93.8","91.7","97.6","strong_aha","facility completion packet needs richer evidence capture"
"29","DEMO-TEST-SL-5000-TECH-0704","tech","Service Tech","repair-only specialist","sandwich caregiver","protect dinner at home","avoid a weekend callback","avoid a wrong part order","true","true","93.7","91.5","93.7","strong_aha","service-tech start favors code lookup over the PartSnap fork"
"30","DEMO-TEST-SL-5000-FACILITY-0259","facility","Facility / CPO","hotel or resort","raising young children","school or daycare pickup","get home for dinner","prepare an escalation packet","true","true","93.6","91.5","97.6","strong_aha","facility completion packet needs richer evidence capture"
"31","DEMO-TEST-SL-5000-FACILITY-0577","facility","Facility / CPO","swim school","raising young children","unpredictable on-call schedule","get home for dinner","document a dose","true","true","93.6","88.1","98","strong_aha","facility completion packet needs richer evidence capture"
"32","DEMO-TEST-SL-5000-FACILITY-0321","facility","Facility / CPO","fitness or medical facility","early career","elder-care responsibility","feel confident without calling a boss","document a dose","true","true","93.3","93.5","87.4","strong_aha","facility completion packet needs richer evidence capture"
"33","DEMO-TEST-SL-5000-FACILITY-0733","facility","Facility / CPO","fitness or medical facility","established family","elder-care responsibility","teach the next person faster","record equipment proof","true","true","93.2","91.1","87.7","strong_aha","facility completion packet needs richer evidence capture"
"34","DEMO-TEST-SL-5000-FACILITY-0311","facility","Facility / CPO","apartment or HOA pool","raising young children","second job or side work","get home for dinner","prepare an escalation packet","true","true","93","91.8","97.3","strong_aha","facility completion packet needs richer evidence capture"
"35","DEMO-TEST-SL-5000-FACILITY-0578","facility","Facility / CPO","municipal or school facility","early career","school or daycare pickup","avoid a weekend callback","prepare an escalation packet","true","true","92.9","90.5","92.6","strong_aha","facility completion packet needs richer evidence capture"
"36","DEMO-TEST-SL-5000-FACILITY-0174","facility","Facility / CPO","fitness or medical facility","early career","protect dinner at home","get home for dinner","run a daily pool check","true","true","92.9","89.8","88.8","strong_aha","facility completion packet needs richer evidence capture"
"37","DEMO-TEST-SL-5000-FACILITY-0951","facility","Facility / CPO","swim school","established family","protect dinner at home","feel confident without calling a boss","run a daily pool check","true","true","92.8","91.7","83.5","strong_aha","facility completion packet needs richer evidence capture"
"38","DEMO-TEST-SL-5000-FACILITY-0456","facility","Facility / CPO","municipal or school facility","early career","school or daycare pickup","teach the next person faster","run a daily pool check","true","true","92.8","87.6","88.1","strong_aha","facility completion packet needs richer evidence capture"
"39","DEMO-TEST-SL-5000-FACILITY-0566","facility","Facility / CPO","fitness or medical facility","early career","protect dinner at home","get home for dinner","respond to a contamination event","true","true","92.7","91.5","88.4","strong_aha","facility completion packet needs richer evidence capture"
"40","DEMO-TEST-SL-5000-FACILITY-0475","facility","Facility / CPO","swim school","established family","school or daycare pickup","protect customer or facility trust","document a dose","true","true","92.7","88.5","88","strong_aha","facility completion packet needs richer evidence capture"
"41","DEMO-TEST-SL-5000-FACILITY-0638","facility","Facility / CPO","municipal or school facility","late career or empty nest","school or daycare pickup","feel confident without calling a boss","record equipment proof","true","true","92.6","90.8","87.5","strong_aha","facility completion packet needs richer evidence capture"
"42","DEMO-TEST-SL-5000-FACILITY-0978","facility","Facility / CPO","swim school","sandwich caregiver","protect dinner at home","feel confident without calling a boss","document a dose","true","true","92.5","91.4","88.4","strong_aha","facility completion packet needs richer evidence capture"
"43","DEMO-TEST-SL-5000-TECH-0325","tech","Service Tech","multi-tech service company","established family","elder-care responsibility","avoid a weekend callback","calculate a field dose","true","true","92.5","89.5","92.7","strong_aha","language or visual-step preference is absent from first use"
"44","DEMO-TEST-SL-5000-FACILITY-0533","facility","Facility / CPO","apartment or HOA pool","early career","second job or side work","teach the next person faster","respond to a contamination event","true","true","92.4","92.3","87.3","strong_aha","facility completion packet needs richer evidence capture"
"45","DEMO-TEST-SL-5000-FACILITY-0024","facility","Facility / CPO","swim school","sandwich caregiver","school or daycare pickup","protect customer or facility trust","prepare an escalation packet","true","true","92.4","91.9","92.2","strong_aha","facility completion packet needs richer evidence capture"
"46","DEMO-TEST-SL-5000-FACILITY-0249","facility","Facility / CPO","fitness or medical facility","sandwich caregiver","elder-care responsibility","get home for dinner","prepare an escalation packet","true","true","92.4","91.1","97.3","strong_aha","facility completion packet needs richer evidence capture"
"47","DEMO-TEST-SL-5000-FACILITY-0171","facility","Facility / CPO","fitness or medical facility","established family","elder-care responsibility","protect customer or facility trust","record equipment proof","true","true","92.4","91","87.5","strong_aha","facility completion packet needs richer evidence capture"
"48","DEMO-TEST-SL-5000-FACILITY-0346","facility","Facility / CPO","swim school","late career or empty nest","second job or side work","teach the next person faster","record equipment proof","true","true","92.4","90","87.6","strong_aha","facility completion packet needs richer evidence capture"
"49","DEMO-TEST-SL-5000-FACILITY-0056","facility","Facility / CPO","swim school","established family","elder-care responsibility","avoid a weekend callback","run a daily pool check","true","true","92.4","88.3","92.8","strong_aha","facility completion packet needs richer evidence capture"
"50","DEMO-TEST-SL-5000-FACILITY-0667","facility","Facility / CPO","municipal or school facility","late career or empty nest","protect dinner at home","get home for dinner","prepare an escalation packet","true","true","92.4","87.2","89","strong_aha","facility completion packet needs richer evidence capture"
"51","DEMO-TEST-SL-5000-FACILITY-0593","facility","Facility / CPO","fitness or medical facility","raising young children","elder-care responsibility","protect customer or facility trust","record equipment proof","true","true","92.3","92.2","92.1","strong_aha","facility completion packet needs richer evidence capture"
"52","DEMO-TEST-SL-5000-FACILITY-0588","facility","Facility / CPO","fitness or medical facility","early career","protect dinner at home","teach the next person faster","record equipment proof","true","true","92.3","91.6","83.4","strong_aha","facility completion packet needs richer evidence capture"
"53","DEMO-TEST-SL-5000-TECH-0723","tech","Service Tech","warranty service route","established family","elder-care responsibility","feel confident without calling a boss","identify an equipment code","true","true","92.3","89.2","87.7","strong_aha","language or visual-step preference is absent from first use"
"54","DEMO-TEST-SL-5000-TECH-0030","tech","Service Tech","commercial pool route","sandwich caregiver","protect dinner at home","feel confident without calling a boss","save visit proof","true","true","92.2","91.4","88.3","strong_aha","language or visual-step preference is absent from first use"
"55","DEMO-TEST-SL-5000-TECH-0991","tech","Service Tech","repair-only specialist","sandwich caregiver","school or daycare pickup","get home for dinner","calculate a field dose","true","true","92.2","90.5","97.3","strong_aha",""
"56","DEMO-TEST-SL-5000-TECH-0797","tech","Service Tech","commercial pool route","established family","school or daycare pickup","protect customer or facility trust","identify an equipment code","true","true","92.2","89.8","87.6","strong_aha","language or visual-step preference is absent from first use"
"57","DEMO-TEST-SL-5000-FACILITY-0529","facility","Facility / CPO","swim school","established family","school or daycare pickup","get home for dinner","respond to a contamination event","true","true","92.1","91.5","92.2","strong_aha","facility completion packet needs richer evidence capture"
"58","DEMO-TEST-SL-5000-TECH-0855","tech","Service Tech","warranty service route","established family","unpredictable on-call schedule","feel confident without calling a boss","identify an equipment code","true","true","92.1","90.2","87.5","strong_aha","language or visual-step preference is absent from first use"
"59","DEMO-TEST-SL-5000-FACILITY-0802","facility","Facility / CPO","fitness or medical facility","sandwich caregiver","protect dinner at home","feel confident without calling a boss","respond to a contamination event","true","true","91.9","90.7","88.3","strong_aha","facility completion packet needs richer evidence capture"
"60","DEMO-TEST-SL-5000-FACILITY-0355","facility","Facility / CPO","hotel or resort","raising young children","school or daycare pickup","avoid a weekend callback","prepare an escalation packet","true","true","91.9","89.3","97.3","strong_aha","facility completion packet needs richer evidence capture"
"61","DEMO-TEST-SL-5000-TECH-0975","tech","Service Tech","commercial pool route","established family","elder-care responsibility","teach the next person faster","identify an equipment code","true","true","91.9","88.8","87.7","strong_aha","secondary controls need larger touch targets"
"62","DEMO-TEST-SL-5000-FACILITY-0469","facility","Facility / CPO","fitness or medical facility","sandwich caregiver","second job or side work","avoid a weekend callback","respond to a contamination event","true","true","91.9","86","97.9","strong_aha","facility completion packet needs richer evidence capture"
"63","DEMO-TEST-SL-5000-FACILITY-0998","facility","Facility / CPO","apartment or HOA pool","established family","protect dinner at home","feel confident without calling a boss","prepare an escalation packet","true","true","91.8","91.3","83.3","strong_aha","facility completion packet needs richer evidence capture"
"64","DEMO-TEST-SL-5000-FACILITY-0591","facility","Facility / CPO","swim school","sandwich caregiver","unpredictable on-call schedule","get home for dinner","run a daily pool check","true","true","91.8","89.6","97.3","strong_aha","facility completion packet needs richer evidence capture"
"65","DEMO-TEST-SL-5000-FACILITY-0223","facility","Facility / CPO","fitness or medical facility","early career","elder-care responsibility","feel confident without calling a boss","prepare an escalation packet","true","true","91.8","88.9","87.6","strong_aha","facility completion packet needs richer evidence capture"
"66","DEMO-TEST-SL-5000-FACILITY-0971","facility","Facility / CPO","fitness or medical facility","late career or empty nest","protect dinner at home","get home for dinner","document a dose","true","true","91.8","88.9","88.6","strong_aha","facility completion packet needs richer evidence capture"
"67","DEMO-TEST-SL-5000-FACILITY-0103","facility","Facility / CPO","apartment or HOA pool","established family","elder-care responsibility","avoid a weekend callback","record equipment proof","true","true","91.7","90.4","92.2","strong_aha","facility completion packet needs richer evidence capture"
"68","DEMO-TEST-SL-5000-FACILITY-0154","facility","Facility / CPO","fitness or medical facility","early career","second job or side work","avoid a weekend callback","prepare an escalation packet","true","true","91.7","88.9","92.5","strong_aha","facility completion packet needs richer evidence capture"
"69","DEMO-TEST-SL-5000-FACILITY-0573","facility","Facility / CPO","municipal or school facility","late career or empty nest","second job or side work","feel confident without calling a boss","record equipment proof","true","true","91.6","91.4","87.2","strong_aha","facility completion packet needs richer evidence capture"
"70","DEMO-TEST-SL-5000-FACILITY-0763","facility","Facility / CPO","apartment or HOA pool","early career","elder-care responsibility","feel confident without calling a boss","run a daily pool check","true","true","91.6","90.1","87.4","strong_aha","facility completion packet needs richer evidence capture"
"71","DEMO-TEST-SL-5000-TECH-0539","tech","Service Tech","warranty service route","established family","protect dinner at home","protect customer or facility trust","save visit proof","true","true","91.6","89.1","83.6","strong_aha","language or visual-step preference is absent from first use"
"72","DEMO-TEST-SL-5000-FACILITY-0910","facility","Facility / CPO","swim school","established family","second job or side work","get home for dinner","document a dose","true","true","91.6","86.7","92.8","strong_aha","facility completion packet needs richer evidence capture"
"73","DEMO-TEST-SL-5000-TECH-0449","tech","Service Tech","solo residential route","late career or empty nest","elder-care responsibility","get home for dinner","identify an equipment code","true","true","91.5","90.2","92.3","strong_aha","language or visual-step preference is absent from first use"
"74","DEMO-TEST-SL-5000-FACILITY-0859","facility","Facility / CPO","municipal or school facility","early career","school or daycare pickup","feel confident without calling a boss","document a dose","true","true","91.5","88.8","87.5","strong_aha","facility completion packet needs richer evidence capture"
"75","DEMO-TEST-SL-5000-FACILITY-0385","facility","Facility / CPO","hotel or resort","sandwich caregiver","elder-care responsibility","teach the next person faster","prepare an escalation packet","true","true","91.5","87.8","92.6","strong_aha","facility completion packet needs richer evidence capture"
"76","DEMO-TEST-SL-5000-FACILITY-0257","facility","Facility / CPO","swim school","early career","second job or side work","protect customer or facility trust","respond to a contamination event","true","true","91.4","88.8","87.5","strong_aha","facility completion packet needs richer evidence capture"
"77","DEMO-TEST-SL-5000-TECH-0544","tech","Service Tech","repair-only specialist","late career or empty nest","elder-care responsibility","get home for dinner","prepare a senior-tech packet","true","true","91.3","91.8","91.9","strong_aha","dense supporting copy is difficult to scan"
"78","DEMO-TEST-SL-5000-TECH-0931","tech","Service Tech","solo residential route","established family","protect dinner at home","avoid a weekend callback","save visit proof","true","true","91.3","90.3","88.2","strong_aha",""
"79","DEMO-TEST-SL-5000-TECH-0938","tech","Service Tech","warranty service route","sandwich caregiver","unpredictable on-call schedule","protect customer or facility trust","prepare a senior-tech packet","true","true","91.3","87.7","92.6","strong_aha","dense supporting copy is difficult to scan"
"80","DEMO-TEST-SL-5000-FACILITY-0071","facility","Facility / CPO","municipal or school facility","raising young children","unpredictable on-call schedule","avoid a weekend callback","record equipment proof","true","true","91.2","89.4","97.1","strong_aha","facility completion packet needs richer evidence capture"
"81","DEMO-TEST-SL-5000-FACILITY-0752","facility","Facility / CPO","swim school","sandwich caregiver","second job or side work","protect customer or facility trust","respond to a contamination event","true","true","91.2","87.8","92.5","strong_aha","facility completion packet needs richer evidence capture"
"82","DEMO-TEST-SL-5000-FACILITY-0937","facility","Facility / CPO","municipal or school facility","late career or empty nest","elder-care responsibility","get home for dinner","record equipment proof","true","true","91.1","91.2","92","strong_aha","facility completion packet needs richer evidence capture"
"83","DEMO-TEST-SL-5000-FACILITY-0436","facility","Facility / CPO","hotel or resort","early career","elder-care responsibility","protect customer or facility trust","document a dose","true","true","91.1","91.1","87.1","strong_aha","facility completion packet needs richer evidence capture"
"84","DEMO-TEST-SL-5000-FACILITY-0535","facility","Facility / CPO","hotel or resort","late career or empty nest","elder-care responsibility","avoid a weekend callback","document a dose","true","true","91.1","91.1","92","strong_aha","facility completion packet needs richer evidence capture"
"85","DEMO-TEST-SL-5000-FACILITY-0048","facility","Facility / CPO","swim school","sandwich caregiver","unpredictable on-call schedule","get home for dinner","document a dose","true","true","91.1","90.9","96.8","strong_aha","facility completion packet needs richer evidence capture"
"86","DEMO-TEST-SL-5000-FACILITY-0377","facility","Facility / CPO","municipal or school facility","late career or empty nest","unpredictable on-call schedule","get home for dinner","prepare an escalation packet","true","true","91.1","90.5","92.1","strong_aha","facility completion packet needs richer evidence capture"
"87","DEMO-TEST-SL-5000-FACILITY-0375","facility","Facility / CPO","apartment or HOA pool","sandwich caregiver","second job or side work","get home for dinner","record equipment proof","true","true","91.1","90","97","strong_aha","facility completion packet needs richer evidence capture"
"88","DEMO-TEST-SL-5000-FACILITY-0080","facility","Facility / CPO","fitness or medical facility","sandwich caregiver","unpredictable on-call schedule","get home for dinner","record equipment proof","true","true","91.1","89.8","97.1","strong_aha","facility completion packet needs richer evidence capture"
"89","DEMO-TEST-SL-5000-TECH-0822","tech","Service Tech","repair-only specialist","late career or empty nest","protect dinner at home","feel confident without calling a boss","avoid a wrong part order","true","true","91.1","88.9","83.5","strong_aha","service-tech start favors code lookup over the PartSnap fork"
"90","DEMO-TEST-SL-5000-FACILITY-0994","facility","Facility / CPO","municipal or school facility","raising young children","second job or side work","feel confident without calling a boss","document a dose","true","true","91","89.3","92.2","strong_aha","facility completion packet needs richer evidence capture"
"91","DEMO-TEST-SL-5000-FACILITY-0388","facility","Facility / CPO","swim school","early career","elder-care responsibility","feel confident without calling a boss","prepare an escalation packet","true","true","91","88.2","87.5","strong_aha","facility completion packet needs richer evidence capture"
"92","DEMO-TEST-SL-5000-TECH-0774","tech","Service Tech","commercial pool route","sandwich caregiver","elder-care responsibility","get home for dinner","prepare a senior-tech packet","true","true","91","86.6","97.6","strong_aha","language or visual-step preference is absent from first use"
"93","DEMO-TEST-SL-5000-TECH-0419","tech","Service Tech","warranty service route","early career","protect dinner at home","avoid a weekend callback","save visit proof","true","true","90.9","90","88.2","strong_aha","too many tools remain visible after role choice"
"94","DEMO-TEST-SL-5000-FACILITY-0534","facility","Facility / CPO","swim school","raising young children","school or daycare pickup","teach the next person faster","prepare an escalation packet","true","true","90.8","92","91.7","strong_aha","facility completion packet needs richer evidence capture"
"95","DEMO-TEST-SL-5000-FACILITY-0781","facility","Facility / CPO","apartment or HOA pool","established family","protect dinner at home","get home for dinner","record equipment proof","true","true","90.8","90.9","88","strong_aha","facility completion packet needs richer evidence capture"
"96","DEMO-TEST-SL-5000-TECH-0440","tech","Service Tech","warranty service route","early career","school or daycare pickup","protect customer or facility trust","save visit proof","true","true","90.8","90.3","87.1","strong_aha","secondary controls need larger touch targets"
"97","DEMO-TEST-SL-5000-TECH-0535","tech","Service Tech","multi-tech service company","late career or empty nest","second job or side work","feel confident without calling a boss","avoid a wrong part order","true","true","90.8","90","87.2","strong_aha","service-tech start favors code lookup over the PartSnap fork"
"98","DEMO-TEST-SL-5000-FACILITY-0835","facility","Facility / CPO","fitness or medical facility","established family","school or daycare pickup","teach the next person faster","document a dose","true","true","90.7","91.5","86.9","strong_aha","facility completion packet needs richer evidence capture"
"99","DEMO-TEST-SL-5000-FACILITY-0830","facility","Facility / CPO","apartment or HOA pool","late career or empty nest","elder-care responsibility","teach the next person faster","respond to a contamination event","true","true","90.7","90.4","87","strong_aha","facility completion packet needs richer evidence capture"
"100","DEMO-TEST-SL-5000-FACILITY-0058","facility","Facility / CPO","hotel or resort","early career","school or daycare pickup","get home for dinner","document a dose","true","true","90.7","90","92","strong_aha","facility completion packet needs richer evidence capture"
"101","DEMO-TEST-SL-5000-FACILITY-0313","facility","Facility / CPO","swim school","raising young children","protect dinner at home","protect customer or facility trust","prepare an escalation packet","true","true","90.7","89.9","88.1","strong_aha","facility completion packet needs richer evidence capture"
"102","DEMO-TEST-SL-5000-TECH-0782","tech","Service Tech","commercial pool route","established family","second job or side work","teach the next person faster","identify an equipment code","true","true","90.7","87.3","87.6","strong_aha",""
"103","DEMO-TEST-SL-5000-FACILITY-0393","facility","Facility / CPO","municipal or school facility","established family","unpredictable on-call schedule","feel confident without calling a boss","respond to a contamination event","true","true","90.6","90.7","86.9","strong_aha","facility completion packet needs richer evidence capture"
"104","DEMO-TEST-SL-5000-FACILITY-0635","facility","Facility / CPO","municipal or school facility","raising young children","elder-care responsibility","protect customer or facility trust","run a daily pool check","true","true","90.6","88.5","92.2","strong_aha","facility completion packet needs richer evidence capture"
"105","DEMO-TEST-SL-5000-FACILITY-0811","facility","Facility / CPO","swim school","early career","protect dinner at home","get home for dinner","respond to a contamination event","true","true","90.5","89.5","88.1","strong_aha","facility completion packet needs richer evidence capture"
"106","DEMO-TEST-SL-5000-FACILITY-0683","facility","Facility / CPO","fitness or medical facility","early career","second job or side work","get home for dinner","run a daily pool check","true","true","90.5","88.9","92.1","strong_aha","facility completion packet needs richer evidence capture"
"107","DEMO-TEST-SL-5000-FACILITY-0755","facility","Facility / CPO","swim school","early career","school or daycare pickup","teach the next person faster","document a dose","true","true","90.5","88.8","87.2","strong_aha","facility completion packet needs richer evidence capture"
"108","DEMO-TEST-SL-5000-TECH-0798","tech","Service Tech","warranty service route","late career or empty nest","second job or side work","feel confident without calling a boss","save visit proof","true","true","90.5","88","87.4","strong_aha","dynamic workflow state needs stronger screen-reader announcements"
"109","DEMO-TEST-SL-5000-FACILITY-0021","facility","Facility / CPO","apartment or HOA pool","sandwich caregiver","unpredictable on-call schedule","protect customer or facility trust","respond to a contamination event","true","true","90.4","92","91.6","strong_aha","facility completion packet needs richer evidence capture"
"110","DEMO-TEST-SL-5000-FACILITY-0516","facility","Facility / CPO","fitness or medical facility","early career","protect dinner at home","feel confident without calling a boss","document a dose","true","true","90.4","89.8","83.2","strong_aha","facility completion packet needs richer evidence capture"
"111","DEMO-TEST-SL-5000-FACILITY-0268","facility","Facility / CPO","municipal or school facility","raising young children","unpredictable on-call schedule","get home for dinner","respond to a contamination event","true","true","90.4","88.5","97","strong_aha","facility completion packet needs richer evidence capture"
"112","DEMO-TEST-SL-5000-FACILITY-0429","facility","Facility / CPO","hotel or resort","established family","second job or side work","avoid a weekend callback","prepare an escalation packet","true","true","90.3","91.7","91.6","strong_aha","facility completion packet needs richer evidence capture"
"113","DEMO-TEST-SL-5000-FACILITY-0803","facility","Facility / CPO","municipal or school facility","late career or empty nest","elder-care responsibility","avoid a weekend callback","run a daily pool check","true","true","90.3","90.6","91.8","strong_aha","facility completion packet needs richer evidence capture"
"114","DEMO-TEST-SL-5000-FACILITY-0885","facility","Facility / CPO","hotel or resort","late career or empty nest","protect dinner at home","feel confident without calling a boss","run a daily pool check","true","true","90.3","90.6","83","strong_aha","facility completion packet needs richer evidence capture"
"115","DEMO-TEST-SL-5000-FACILITY-0172","facility","Facility / CPO","swim school","sandwich caregiver","unpredictable on-call schedule","protect customer or facility trust","respond to a contamination event","true","true","90.3","89.1","92","strong_aha","facility completion packet needs richer evidence capture"
"116","DEMO-TEST-SL-5000-TECH-0603","tech","Service Tech","repair-only specialist","raising young children","protect dinner at home","protect customer or facility trust","save visit proof","true","true","90.3","89","88.1","strong_aha","dense supporting copy is difficult to scan"
"117","DEMO-TEST-SL-5000-FACILITY-0284","facility","Facility / CPO","fitness or medical facility","established family","second job or side work","teach the next person faster","prepare an escalation packet","true","true","90.3","88.6","87.2","strong_aha","facility completion packet needs richer evidence capture"
"118","DEMO-TEST-SL-5000-FACILITY-0519","facility","Facility / CPO","municipal or school facility","raising young children","school or daycare pickup","get home for dinner","record equipment proof","true","true","90.3","88.6","97","strong_aha","facility completion packet needs richer evidence capture"
"119","DEMO-TEST-SL-5000-TECH-0303","tech","Service Tech","warranty service route","established family","elder-care responsibility","protect customer or facility trust","calculate a field dose","true","true","90.3","88.2","87.3","strong_aha","language or visual-step preference is absent from first use"
"120","DEMO-TEST-SL-5000-FACILITY-0614","facility","Facility / CPO","swim school","late career or empty nest","unpredictable on-call schedule","get home for dinner","respond to a contamination event","true","true","90.3","88.2","92.2","strong_aha","facility completion packet needs richer evidence capture"
"121","DEMO-TEST-SL-5000-FACILITY-0648","facility","Facility / CPO","apartment or HOA pool","early career","school or daycare pickup","feel confident without calling a boss","prepare an escalation packet","true","true","90.3","87.6","87.4","strong_aha","facility completion packet needs richer evidence capture"
